Ingredients,Healthy status
Banana,Healthy
Rice Bran Oil,Healthy
"Seasoning (Sumac, Salt)",Moderate
Potato,Healthy
Refined Palmolein Oil,Unhealthy
Rock Salt,Moderate
Acidity Regulator (INS 330),Moderate
Quinoa,Healthy
Corn,Healthy
Rice,Healthy
Jowar (Sorghum),Healthy
Oats,Healthy
Gram,Healthy
Potato Flakes,Healthy
Maltodextrin,Unhealthy
Dehydrated Vegetable Powders,Healthy
Black Salt,Moderate
Sodium Salt (INS 262(i)),Moderate
"Food Acids (INS 330, INS 296)",Moderate
Hydrolyzed Vegetable Protein,Unhealthy
"Flavor Enhancer (INS 627, 631)",Unhealthy
Yeast Extract,Moderate
Anti-caking agents (INS 551),Moderate
Wheat Flour,Moderate
Fenugreek Seeds,Healthy
Sesame Seeds,Healthy
Turmeric,Healthy
Hing (Asafoetida),Healthy
Iodized Salt,Moderate
Edible Vegetable Oil,Unhealthy
"Lentils (Moong Dal, Green Peas)",Healthy
Dehydrated Vegetables,Healthy
Sugar,Unhealthy
Emulsifier (INS 322 from Soy),Moderate
Spices & Condiments,Healthy
Cheddar Cheese,Unhealthy
Monosodium Glutamate (MSG),Unhealthy
Whey,Healthy
Parmesan Cheese,Unhealthy
"Artificial Color (Yellow 6, etc.)",Unhealthy
"Disodium Inosinate, Guanylate",Moderate
Corn Oil,Healthy
Sunflower Oil,Healthy
Canola Oil,Moderate
Wheat,Healthy
Ragi,Healthy
Sago,Moderate
"Spices (Chilli, Cumin, etc.)",Moderate
Maltodextrin,Unhealthy
"Food Acids (INS 330, INS 296)",Moderate